city,time,latitude,longitude,summary,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureMin,temperatureMax,dewPoint,humidity,pressure,windSpeed,cloudCover,visibility
Mangalore,2018-12-25 00:00:00,12.9141,74.856,Humid throughout the day.,0.0508,0.1962,0.27,rain,25.12,33.48,23.27,0.75,1012.6,1.8,0.33,5.409
Mangalore,2018-12-01 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.0008,0.0032,0.03,rain,23.03,34.58,20.91,0.68,1010.2,1.81,0.5,6.351
Mangalore,2019-01-28 00:00:00,12.9141,74.856,Clear throughout the day.,0.001,0.0043,0.06,rain,21.13,33.45,17.71,0.58,1013.8,2.92,0.08,7.455
Mangalore,2019-04-12 00:00:00,12.9141,74.856,Humid throughout the day.,0.0032,0.0174,0.05,rain,27.9,35.42,24.25,0.69,1009.9,2.38,0.19,6.295
Mangalore,2019-05-21 00:00:00,12.9141,74.856,Humid throughout the day.,0.0094,0.0554,0.15,rain,27,33.54,24.3,0.71,1008.8,2.85,0.34,6.522
Mangalore,2018-08-10 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.02,28.79,23.35,0.88,,3.61,0.75,4.999
Mangalore,2018-08-18 00:00:00,12.9141,74.856,Humid and mostly cloudy throughout the day.,,,,,24.02,28.74,23.82,0.87,,4.17,0.75,5.438
Mangalore,2019-06-24 00:00:00,12.9141,74.856,Possible light rain and humid throughout the day.,0.7485,1.4751,0.84,rain,25.07,30.93,24.16,0.82,1008.5,2.36,0.64,5.407
Mangalore,2019-05-22 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.248,1.0315,0.52,rain,27.96,34.75,24.35,0.69,1008.9,2.52,0.38,7.729
Mangalore,2019-01-18 00:00:00,12.9141,74.856,Clear throughout the day.,0.0012,0.0051,0.04,rain,22,32.22,17.79,0.62,1013.1,2.56,0.08,5.481
Mangalore,2018-10-22 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,24.02,32.73,22.61,0.72,,1.81,0.19,5.655
Mangalore,2018-08-24 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.95,29.88,23,0.83,,2.22,0.61,6.047
Mangalore,2019-06-23 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,0.9286,1.4791,0.96,rain,24.97,32.01,23.98,0.8,1007.1,1.46,0.5,6.408
Mangalore,2019-09-29 00:00:00,12.9141,74.856,"Possible light rain until night, starting again in the afternoon.",0.4555,1.3018,0.84,rain,24.03,32.97,23.51,0.76,1012.2,1.72,0.45,6.465
Mangalore,2019-08-30 00:00:00,12.9141,74.856,Possible light rain and humid throughout the day.,0.5872,1.3442,0.88,rain,24.01,30.08,23.62,0.85,1007.3,1.36,0.64,3.42
Mangalore,2018-11-24 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.1194,0.6759,0.46,rain,24.97,32.64,24.05,0.79,1014.1,1.66,0.45,5.46
Mangalore,2018-09-04 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,24.1,29.73,22.86,0.79,,2.29,0.4,6.916
Mangalore,2019-10-11 00:00:00,12.9141,74.856,Heavy rain overnight and in the morning.,0.343,5.4853,0.87,rain,24.09,31.95,22.98,0.77,1010.3,2.56,0.55,6.554
Mangalore,2018-06-22 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.02,26.79,23.13,0.9,,2.22,0.75,4.843
Mangalore,2018-12-04 00:00:00,12.9141,74.856,Humid and mostly cloudy throughout the day.,0.0251,0.2405,0.33,rain,24.9,33.63,22.62,0.7,1011.5,1.28,0.66,6.802
Mangalore,2019-10-26 00:00:00,12.9141,74.856,Light rain in the morning and afternoon.,0.479,2.1694,0.97,rain,23,30.17,22.67,0.82,1011.3,3.3,0.72,6.592
Mangalore,2019-07-25 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,1.1147,1.8535,0.99,rain,24.09,25.92,22.85,0.88,1010.1,1.44,0.77,3.81
Mangalore,2019-06-07 00:00:00,12.9141,74.856,Light rain in the afternoon and evening.,0.4085,1.7748,0.89,rain,27.07,35.03,24.41,0.7,1007.7,2.63,0.3,6.912
Mangalore,2019-02-15 00:00:00,12.9141,74.856,Humid throughout the day.,0.0007,0.0032,0.02,rain,24.9,33.47,21.91,0.69,1013.7,3.13,0.16,6.33
Mangalore,2018-07-07 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,24.08,28.84,24.21,0.9,,3.81,0.82,4.22
Mangalore,2018-08-09 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.02,26.68,23.3,0.91,,2.86,0.7,4.781
Mangalore,2018-12-05 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.0953,0.3903,0.45,rain,24.15,33.41,23.86,0.76,1010.5,1.62,0.36,5.941
Mangalore,2018-12-10 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.0013,0.0051,0.04,rain,23.93,32.57,20.49,0.66,1012,1.88,0.54,6.177
Mangalore,2018-07-08 00:00:00,12.9141,74.856,Humid and mostly cloudy throughout the day.,,,,,25.08,29.84,24.87,0.86,,4.7,0.75,4.872
Mangalore,2018-10-19 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,25.03,28.66,23.6,0.84,,1.32,0.64,6.265
Mangalore,2019-09-21 00:00:00,12.9141,74.856,Humid throughout the day.,0.0451,0.4377,0.54,rain,24.94,30.79,23.48,0.77,1009.1,1.42,0.49,7.678
Mangalore,2019-06-03 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.1491,1.4384,0.32,rain,26.12,34.13,24.19,0.73,1008.2,2.25,0.37,7.605
Mangalore,2019-01-02 00:00:00,12.9141,74.856,Clear throughout the day.,0.0012,0.0043,0.03,rain,19.13,33.38,14.71,0.54,1016.1,2.34,0.03,7.395
Mangalore,2018-07-11 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,24.03,28.91,23.56,0.86,,4.15,0.75,4.393
Mangalore,2018-07-02 00:00:00,12.9141,74.856,Humid and mostly cloudy throughout the day.,,,,,23.02,30.7,23,0.82,,2.22,0.63,6.873
Mangalore,2019-06-21 00:00:00,12.9141,74.856,Rain and humid throughout the day.,2.4927,5.3684,0.99,rain,23.81,30.29,23.7,0.87,1007.3,2.79,0.75,5.3
Mangalore,2019-06-13 00:00:00,12.9141,74.856,Heavy rain and humid throughout the day.,1.8173,2.5018,0.99,rain,25.11,31.17,24.46,0.84,1008.7,2.66,0.65,5.322
Mangalore,2018-06-23 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,24.08,27.82,23.56,0.9,,2.52,0.75,4.575
Mangalore,2019-07-27 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,0.964,1.3935,0.9,rain,25.08,30.95,23.93,0.81,1009.8,3.31,0.72,5.841
Mangalore,2019-09-18 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,0.3629,0.9305,0.9,rain,24.13,30.06,23.22,0.81,1009.2,0.76,0.71,6.207
Mangalore,2019-10-07 00:00:00,12.9141,74.856,Humid throughout the day.,0.0885,0.6261,0.48,rain,25.01,32.92,23.61,0.78,1010.9,2.01,0.5,5.894
Mangalore,2019-04-10 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.0164,0.1398,0.11,rain,26.72,34.42,24.24,0.71,1010.6,2.81,0.44,7.116
Mangalore,2019-07-08 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,1.6547,2.2528,0.99,rain,22.06,30.93,24.06,0.85,1009.4,3.23,0.73,4.505
Mangalore,2019-02-05 00:00:00,12.9141,74.856,Humid throughout the day.,0.0007,0.002,0.03,rain,24.05,33.66,21.95,0.69,1012.4,2.59,0.34,7.065
Mangalore,2019-08-06 00:00:00,12.9141,74.856,Rain and humid throughout the day.,2.3486,5.843,1,rain,23.95,29.19,24.61,0.85,1008.1,6.05,0.75,4.828
Mangalore,2018-09-22 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.02,32.66,22.61,0.76,,2.72,0.23,6.568
Mangalore,2018-07-14 00:00:00,12.9141,74.856,Humid and mostly cloudy throughout the day.,,,,,25.13,29.86,24.6,0.82,,4.25,0.72,6
Mangalore,2018-08-15 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.97,26.74,23.04,0.88,,5.65,0.75,4.54
Mangalore,2019-08-23 00:00:00,12.9141,74.856,Rain and humid throughout the day.,1.626,3.4034,1,rain,22.92,26.83,22.62,0.9,1010.9,1.07,0.75,3.352
Mangalore,2018-09-15 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,24.95,31.74,22.78,0.74,,2.45,0.37,7.655
Mangalore,2019-10-17 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,0.718,3.5666,0.99,rain,23.8,29.98,23.49,0.87,1010.6,2.51,0.75,4.793
Mangalore,2019-06-05 00:00:00,12.9141,74.856,Possible drizzle overnight and in the morning.,0.112,0.4142,0.7,rain,23.8,31.68,23.3,0.78,1007.5,2.51,0.58,5.67
Mangalore,2018-10-23 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.97,33.79,23,0.73,,1.2,,5.22
Mangalore,2018-12-11 00:00:00,12.9141,74.856,Mostly cloudy throughout the day.,0.001,0.0045,0.03,rain,23.02,32.61,20.14,0.66,1013,1.51,0.43,6.526
Mangalore,2019-03-23 00:00:00,12.9141,74.856,Humid throughout the day.,0.0014,0.0034,0.04,rain,24.85,33.48,22.27,0.68,1011.3,2.99,0.18,9.23
Mangalore,2019-09-26 00:00:00,12.9141,74.856,Humid throughout the day.,0.0756,0.3402,0.48,rain,23.95,31.94,23.6,0.79,1014.3,1.38,0.46,7.736
Mangalore,2019-09-30 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.2366,1.8557,0.71,rain,23.92,31.83,22.77,0.76,1012.5,1.76,0.45,7.539
Mangalore,2019-07-11 00:00:00,12.9141,74.856,Possible light rain in the afternoon and evening.,0.364,1.505,0.74,rain,23.93,29.92,22.76,0.82,1011,1.45,0.64,5.942
Mangalore,2019-05-10 00:00:00,12.9141,74.856,Humid throughout the day.,0.0098,0.0277,0.12,rain,26.77,34.64,23.11,0.67,1010.1,3.53,0.31,8.338
Mangalore,2019-08-11 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,1.3021,2.3318,0.99,rain,24.03,30.07,23.67,0.85,1009.4,2.89,0.72,4.408
Mangalore,2019-01-13 00:00:00,12.9141,74.856,Foggy in the morning.,0.0017,0.0041,0.05,rain,21.92,33.52,19.55,0.67,1012.3,2.13,0,6.286
Mangalore,2019-10-06 00:00:00,12.9141,74.856,Humid throughout the day.,0.0786,0.3172,0.41,rain,24.2,32.12,23.55,0.76,1011.7,1.61,0.34,6.917
Mangalore,2019-05-03 00:00:00,12.9141,74.856,Humid throughout the day.,0.0004,0.0019,0.01,rain,25.11,33.87,21.39,0.62,1011.4,3.13,0.29,7.895
Mangalore,2019-11-01 00:00:00,12.9141,74.856,Humid throughout the day.,0.0186,0.1225,0.15,rain,22.17,31.76,21.98,0.75,1011.2,2.54,0.21,7.148
Mangalore,2018-10-29 00:00:00,12.9141,74.856,Clear throughout the day.,,,,,,,,,,,,
Mangalore,2019-07-20 00:00:00,12.9141,74.856,Rain and humid throughout the day.,3.0112,6.3,1,rain,24.02,27.94,23.23,0.87,1006.2,4.19,0.75,4.028
Mangalore,2018-12-06 00:00:00,12.9141,74.856,Humid throughout the day.,0.1544,0.4828,0.48,rain,25.03,33.97,23.91,0.76,1010.5,1.09,0.29,6.327
Mangalore,2019-06-01 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.0055,0.0323,0.18,rain,27.26,34.12,24.41,0.7,1008.7,1.72,0.48,6.997
Mangalore,2018-11-28 00:00:00,12.9141,74.856,Humid and mostly cloudy throughout the day.,0.0004,0.003,0.02,rain,21.96,32.63,20.14,0.67,1013.2,1.13,0.45,6.005
Mangalore,2019-07-07 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,1.2164,1.8797,0.97,rain,22.95,31.01,24.13,0.81,1010,3.51,0.53,5.628
Mangalore,2018-12-23 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.0926,0.4654,0.39,rain,25.11,33.62,22.38,0.7,1012.3,2.51,0.54,7.785
Mangalore,2019-05-13 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.0173,0.0631,0.18,rain,26.88,34.48,22.71,0.65,1009.7,2.93,0.46,6.829
Mangalore,2019-05-17 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.0089,0.0277,0.14,rain,27.75,33.59,23.87,0.69,1009.3,3.4,0.37,6.845
Mangalore,2019-01-07 00:00:00,12.9141,74.856,Clear throughout the day.,0.0019,0.0069,0.06,rain,22.09,31.37,19.39,0.66,1013,2.75,0.11,6.22
Mangalore,2019-01-12 00:00:00,12.9141,74.856,Humid throughout the day.,0.0006,0.0032,0.03,rain,22.02,34.39,18.29,0.62,1013.2,2.4,0.02,6.178
Mangalore,2019-10-02 00:00:00,12.9141,74.856,Rain and humid throughout the day.,0.4462,1.8903,0.89,rain,25.05,32.78,24,0.77,1011.5,1.59,0.53,6.773
Mangalore,2019-01-06 00:00:00,12.9141,74.856,Clear throughout the day.,0.0005,0.003,0.02,rain,20.81,33.45,18.45,0.65,1012.2,2.07,0.02,6.004
Mangalore,2018-12-19 00:00:00,12.9141,74.856,Clear throughout the day.,0.0004,0.0031,0.02,rain,23.01,31.63,19.3,0.64,1013,2.05,0.16,6.854
Mangalore,2018-08-04 00:00:00,12.9141,74.856,Humid and mostly cloudy throughout the day.,,,,,25.1,29.73,23.85,0.8,,3.88,0.6,7.243
Mangalore,2019-08-19 00:00:00,12.9141,74.856,Light rain until afternoon.,0.3023,1.386,0.87,rain,24.05,29.91,23.3,0.82,1010.6,1.48,0.74,5.656
Mangalore,2018-06-27 00:00:00,12.9141,74.856,Humid and foggy throughout the day.,,,,,23.02,25.78,23.04,0.91,,2.25,0.75,3.475
Mangalore,2019-09-23 00:00:00,12.9141,74.856,Possible light rain overnight.,0.0189,0.0624,0.32,rain,24.86,32.1,23.44,0.77,1008.8,0.98,0.71,7.327
Mangalore,2018-07-18 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.59,28.91,23.56,0.89,,2.39,0.75,4.52
Mangalore,2019-08-28 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,0.8858,1.3227,0.96,rain,24.01,30.92,23.9,0.85,1009.5,1.91,0.6,4.697
Mangalore,2019-04-11 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.0104,0.0864,0.08,rain,25.12,34.57,23.23,0.68,1009.8,2.68,0.37,6.115
Mangalore,2019-03-09 00:00:00,12.9141,74.856,Humid throughout the day.,0.001,0.0043,0.04,rain,23.7,33.58,22.77,0.71,1012.7,2.36,0.37,7.885
Mangalore,2019-02-22 00:00:00,12.9141,74.856,Humid throughout the day.,0.0009,0.0031,0.03,rain,20.9,35.37,19.31,0.61,1011.4,2.45,0.09,8.345
Mangalore,2019-01-08 00:00:00,12.9141,74.856,Clear throughout the day.,0.0005,0.0031,0.02,rain,21.02,33.47,16.41,0.59,1012.4,2.46,0,6.352
Mangalore,2019-06-11 00:00:00,12.9141,74.856,Rain and humid throughout the day.,2.7699,3.9178,0.99,rain,25.21,31.28,24.6,0.86,1007.5,3.84,0.75,5.297
Mangalore,2018-06-28 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.07,25.83,22.78,0.91,,2.06,0.75,3.131
Mangalore,2019-05-07 00:00:00,12.9141,74.856,Possible light rain in the morning.,0.2456,0.556,0.58,rain,26.24,34.04,23.43,0.69,1011.4,3.36,0.48,7.195
Mangalore,2019-07-15 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,0.8615,1.5612,0.99,rain,23,30.71,22.65,0.81,1010.1,1.28,0.75,5.14
Mangalore,2019-10-08 00:00:00,12.9141,74.856,Possible light rain in the morning.,0.2093,0.9782,0.67,rain,23.96,32.94,23.06,0.76,1010.1,2.19,0.44,6.781
Mangalore,2018-07-04 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.05,29.79,24.13,0.82,,2.54,0.4,5.441
Mangalore,2019-07-13 00:00:00,12.9141,74.856,Rain and humid throughout the day.,1.1334,3.664,0.99,rain,23.98,29.06,23.11,0.83,1011.2,1.72,0.67,6.147
Mangalore,2019-10-15 00:00:00,12.9141,74.856,Possible light rain in the afternoon and evening.,0.1957,0.6059,0.81,rain,23.97,32.96,23.62,0.81,1010.3,2.19,0.58,6.894
Mangalore,2018-09-03 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,,,,,23.1,29.73,22.65,0.79,,2.76,0.38,6.927
Mangalore,2018-09-24 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,,,,,25.03,31.81,23.04,0.75,,2.84,0.42,7.099
Mangalore,2019-02-25 00:00:00,12.9141,74.856,Humid throughout the day.,0.002,0.0046,0.04,rain,23.81,33.7,21.82,0.7,1010.5,3.15,0.4,7.381
Mangalore,2018-06-20 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.02,26.84,22.3,0.88,,2.26,0.75,4.753
Mangalore,2019-08-05 00:00:00,12.9141,74.856,Rain and humid throughout the day.,3.5867,6.3207,1,rain,23.14,27.92,23.3,0.88,1008.7,3.55,0.75,4.079
Mangalore,2019-09-08 00:00:00,12.9141,74.856,Rain and humid throughout the day.,1.5187,4.9471,0.96,rain,23.89,29.97,23.83,0.84,1010,3.68,0.73,5.945
Mangalore,2019-03-29 00:00:00,12.9141,74.856,Humid throughout the day.,0.0194,0.162,0.1,rain,26.09,33.7,23.88,0.72,1011,2.5,0.36,5.384
Mangalore,2019-09-13 00:00:00,12.9141,74.856,Possible light rain overnight.,0.1799,1.1458,0.56,rain,24.97,29.99,24.24,0.85,1011.5,1.6,0.7,4.926
Mangalore,2019-05-09 00:00:00,12.9141,74.856,Humid throughout the day.,0.0004,0.0019,0.02,rain,25.95,34.4,22.6,0.66,1009.3,4.22,0.25,7.657
Mangalore,2018-07-21 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,,,,,25.1,29.66,24.1,0.8,,5.07,0.45,5.892
Mangalore,2019-07-04 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,1.6952,2.0921,0.96,rain,26.35,31.24,24.24,0.77,1007.9,5.99,0.59,7.292
Mangalore,2019-10-10 00:00:00,12.9141,74.856,Rain overnight and in the evening.,0.4402,6.1466,0.64,rain,24.98,33.02,23.79,0.75,1010.3,2.72,0.33,6.265
Mangalore,2019-08-26 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,0.7112,1.6272,0.96,rain,23.19,29.97,22.87,0.82,1008.9,2.19,0.63,6.79
Mangalore,2018-09-05 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,24.02,28.74,22.52,0.81,,2.4,0.51,6.178
Mangalore,2019-02-28 00:00:00,12.9141,74.856,Partly cloudy throughout the day.,0.0005,0.0021,0.02,rain,22.43,34.28,17.33,0.56,1010,4.22,0.4,9.983
Mangalore,2019-03-17 00:00:00,12.9141,74.856,Humid throughout the day.,0.0007,0.0041,0.02,rain,23.96,33.83,22.61,0.71,1012.5,2.4,0.23,5.492
Mangalore,2019-07-29 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,1.1414,2.1514,0.93,rain,24.08,29.98,23.85,0.85,1010.6,1.98,0.7,5.995
Mangalore,2019-01-17 00:00:00,12.9141,74.856,Clear throughout the day.,0.0009,0.0032,0.03,rain,20.92,33.24,17.97,0.62,1012.1,2.24,0.14,5.786
Mangalore,2018-11-07 00:00:00,12.9141,74.856,Humid throughout the day.,0.0021,0.0079,0.06,rain,23.99,33.7,23.03,0.73,1011.1,1.86,0.19,6.611
Mangalore,2018-10-08 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.02,30.73,23.39,0.83,,2.11,0.59,6.19
Mangalore,2019-01-09 00:00:00,12.9141,74.856,Humid throughout the day.,0.0016,0.0053,0.04,rain,20,32.34,17.83,0.64,1012.3,2.28,0.24,6.613
Mangalore,2019-05-14 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.0138,0.0616,0.14,rain,28.06,33.86,23.25,0.65,1010.1,3.87,0.45,7.831
Mangalore,2019-07-09 00:00:00,12.9141,74.856,Rain and humid throughout the day.,1.7122,4.7387,0.99,rain,21.94,26.93,21.77,0.89,1009.8,2.85,0.75,4.04
Mangalore,2018-06-30 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,24.03,29.91,23.56,0.86,,2.15,0.66,4.587
Mangalore,2018-08-23 00:00:00,12.9141,74.856,Humid and mostly cloudy throughout the day.,,,,,23.1,29.81,22.82,0.82,,2.8,0.74,6.309
Mangalore,2019-05-25 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.0096,0.0554,0.13,rain,22.84,34.83,22.99,0.71,1008.3,2.84,0.47,7.899
Mangalore,2019-04-14 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.0039,0.0187,0.13,rain,26.06,35.78,23.72,0.67,1010.5,2.44,0.3,6.732
Mangalore,2019-04-01 00:00:00,12.9141,74.856,Humid and partly cloudy throughout the day.,0.0428,0.2787,0.25,rain,24.08,33.72,23.28,0.71,1011.3,2.12,0.39,6.603
Mangalore,2018-09-16 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,24.09,30.73,23.61,0.78,,2.2,0.45,6.482
Mangalore,2019-04-29 00:00:00,12.9141,74.856,Possible light rain in the evening.,0.1679,0.634,0.6,rain,26,34.86,23.69,0.7,1009,3.09,0.41,6.608
Mangalore,2018-07-31 00:00:00,12.9141,74.856,Humid and mostly cloudy throughout the day.,,,,,24.97,29.73,24.25,0.83,,3.25,0.7,6.395
Mangalore,2019-03-25 00:00:00,12.9141,74.856,Humid throughout the day.,0.0277,0.2392,0.12,rain,25.87,34.71,23.63,0.71,1011.8,2.6,0.23,6.134
Mangalore,2018-07-24 00:00:00,12.9141,74.856,Humid and mostly cloudy throughout the day.,,,,,24.02,29.66,23.59,0.87,,3.78,0.75,5.296
Mangalore,2019-10-04 00:00:00,12.9141,74.856,"Rain until night, starting again in the afternoon.",0.6595,2.9524,0.82,rain,24.09,32.95,23.61,0.77,1010.4,1.64,0.48,5.807
Mangalore,2019-10-05 00:00:00,12.9141,74.856,Light rain overnight and in the morning.,0.3844,2.518,0.96,rain,24.02,31.88,22.87,0.77,1011.2,1.82,0.54,7.478
Mangalore,2018-06-29 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.02,29.71,23.21,0.85,,2.15,0.72,5.264
Mangalore,2019-07-31 00:00:00,12.9141,74.856,Possible light rain and humid throughout the day.,0.9725,1.5216,0.82,rain,25.99,30.1,24.32,0.8,1011,3.65,0.4,6.886
Mangalore,2019-01-21 00:00:00,12.9141,74.856,Foggy in the morning.,0.0021,0.0064,0.05,rain,22.27,32.36,19.68,0.67,1013.9,2.74,0.4,6.135
Mangalore,2018-12-12 00:00:00,12.9141,74.856,Clear throughout the day.,0,0,0,,22.06,31.61,18.95,0.62,1013.1,1.62,0.16,6.003
Mangalore,2018-08-06 00:00:00,12.9141,74.856,Humid and mostly cloudy throughout the day.,,,,,23.95,28.81,23.12,0.83,,3.34,0.75,5.828
Mangalore,2019-09-28 00:00:00,12.9141,74.856,Humid throughout the day.,0.0441,0.2447,0.26,rain,25.03,32.82,23.88,0.77,1012.9,1.58,0.35,6.656
Mangalore,2019-01-11 00:00:00,12.9141,74.856,Foggy in the morning.,0.0006,0.0026,0.03,rain,21.96,32.55,20.37,0.69,1013,2.46,0.46,5.655
Mangalore,2018-12-14 00:00:00,12.9141,74.856,Mostly cloudy throughout the day.,0.0007,0.0072,0.04,rain,23.21,33.37,19.98,0.65,1011.9,1.88,0.73,6.613
Mangalore,2019-08-27 00:00:00,12.9141,74.856,Light rain and humid throughout the day.,1.1488,1.7889,0.97,rain,24.04,28.87,23.78,0.88,1009.1,1,0.7,4.833
Mangalore,2018-10-04 00:00:00,12.9141,74.856,Humid throughout the day.,,,,,23.73,32.73,23.34,0.8,,1.85,0.75,6.023
Mangalore,2019-09-20 00:00:00,12.9141,74.856,Possible light rain overnight.,0.2057,0.6195,0.56,rain,24.11,31.87,23.69,0.79,1008.8,1.44,0.34,6.38
Mangalore,2019-01-15 00:00:00,12.9141,74.856,Clear throughout the day.,0.0014,0.0042,0.05,rain,20.95,34.33,15.26,0.53,1013,2.64,0,6.526
Mangalore,2019-04-13 00:00:00,12.9141,74.856,Humid throughout the day.,0.0361,0.3319,0.11,rain,26.81,35.48,24.48,0.7,1009.8,2.69,0.24,6.038
Mangalore,2018-12-02 00:00:00,12.9141,74.856,Humid and mostly cloudy throughout the day.,0.0004,0.0021,0.02,rain,22.03,33.71,20.02,0.65,1010.6,1.53,0.62,6.643
